"name","link","Provider","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","Price_AMD","Price_USD","externalObjectId","objectType","country","state","city","address","zipcode","phone","photosCount","rankingCategory","objectRank","objectsInCategoryCount","reviewCount","avgScore","certificate","scoreDistribution","languageDistribution","tagcloud"
"Daniel Boutique Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d12385925-Reviews-Daniel_Boutique_Hotel-Yerevan.html","Booking.com",25,"1","0","1","0","0","0","0",17992,37,"d12385925","Hotel","Armenia","Yerevan","Yerevan","Movses Khorenatsi str. 4/3","0015","Missing","35","Hotels in Yerevan","32","82","24","5","Missing","['9', '2', '0', '0', '0']","{'English': '11', 'Italian': '5', 'Russian': '5', 'French': '2', 'Spanish': '1'}","['reviews', 'republic', 'square', 'cafes', 'fridge', 'tv', 'receptionist', 'airport', 'city', 'breakfast', 'location']"
"David's Guest House","https://www.tripadvisor.com//Hotel_Review-g293932-d10164341-Reviews-David_s_Guest_House-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",18030,37,"d10164341","Hotel","Armenia","Yerevan","Yerevan","Gay ave 4","0056","Missing","1","Missing","Missing","Missing","105","Missing","Missing","Missing","Missing","Missing"
"Davtashen Guesthouse","https://www.tripadvisor.com//Hotel_Review-g293932-d11925758-Reviews-Davtashen_Guesthouse-Yerevan.html","Booking.com",0,"1","0","0","0","0","0","0",19835,41,"d11925758","Hotel","Armenia","Yerevan","Yerevan","89 Davtashen dzor 1","54","Missing","Missing","Missing","Missing","Missing","237","Missing","Missing","Missing","Missing","Missing"
"DDD Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d2442931-Reviews-DDD_Hotel-Yerevan.html","Booking.com",10,"1","0","1","0","0","0","0",15990,33,"d2442931","Hotel","Armenia","Yerevan","Yerevan","Komitas ave 54 v","0051","Missing","4","B&Bs / Inns in Yerevan","83","139","10","2.5","Missing","['1', '0', '1', '1', '5']","{'English': '8', 'Italian': '1', 'Russian': '1'}","Missing"
"Deluxe Hotel Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d1479879-Reviews-Deluxe_Hotel_Yerevan-Yerevan.html","Booking.com",245,"1","0","1","0","1","0","0",19911,41,"d1479879","Hotel","Armenia","Yerevan","Yerevan","Komitas ave 32","0012","(010) 277710","141","Hotels in Yerevan","10","82","237","4.5","Certificate of Excellence","['48', '43', '10', '3', '1']","{'English': '105', 'Russian': '116', 'French': '4', 'German': '3', 'Danish': '2', 'Dutch': '2', 'Italian': '2', 'Spanish': '2', 'Arabic': '1', 'Portuguese': '1'}","['reviews', 'metro', 'station', 'provided', 'free', 'small', 'star', 'hotel', 'rooms', 'are', 'spacious', 'and', 'clean', 'cleaned', 'every', 'day', 'third', 'floor', 'tea', 'or', 'coffee', 'enjoyed', 'our', 'stay', 'i', 'highly', 'recommend', 'this', 'hotel', 'reception', 'staff', 'supermarket', 'taxi', 'city', 'disadvantage', 'kettle', 'television', 'dram']"
"Diamond Hotel Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d6839245-Reviews-Diamond_Hotel_Yerevan-Yerevan.html","Expedia.com",86,"1","0","1","0","0","0","0",34806,72,"d6839245","Hotel","Armenia","Yerevan","Yerevan","Arami str. 86","0002","Missing","106","Hotels in Yerevan","30","82","86","4.5","Certificate of Excellence","['17', '6', '10', '1', '2']","{'English': '36', 'Russian': '41', 'Italian': '4', 'French': '2', 'German': '1', 'Spanish': '1', 'Swedish': '1'}","['reviews', 'three', 'nights', 'rooms', 'are', 'clean', 'enjoyed', 'our', 'stay', 'the', 'hotel', 'staff', 'hotel', 'is', 'located', 'city', 'corridor']"
"Dom Moskvy","https://www.tripadvisor.com//Hotel_Review-g293932-d7184938-Reviews-Dom_Moskvy-Yerevan.html","Booking.com",1,"0","1","1","0","0","0","0",19911,41,"d7184938","Hotel","Armenia","Yerevan","Yerevan","Argishti St., 7","375015","Missing","16","B&Bs / Inns in Yerevan","69","139","1","3","Missing","['0', '0', '1', '0', '0']","Missing","Missing"
"Dom","https://www.tripadvisor.com//Hotel_Review-g293932-d14966245-Reviews-Dom-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",19990,41,"d14966245","Hotel","Armenia","Yerevan","Yerevan","Khachatryan 1st Lane","0051","Missing","Missing","Missing","Missing","Missing","240","Missing","Missing","Missing","Missing","Missing"
"Domino Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d10150296-Reviews-Domino_Hostel-Yerevan.html","Booking.com",24,"1","0","1","0","0","0","0",6658,14,"d10150296","Hotel","Armenia","Yerevan","Yerevan","Mashtots M. ave 5","0002","Missing","47","Specialty Lodging in Yerevan","14","281","24","4.5","Missing","['7', '3', '0', '0', '0']","{'English': '10', 'Russian': '10', 'Spanish': '2', 'French': '1', 'Polish': '1'}","['reviews', 'nana', 'arthur', 'dominos', 'supermarket', 'driver', 'hostel', 'shower', 'location', 'breakfast', 'city']"
"DoubleTree by Hilton Hotel Yerevan City Centre","https://www.tripadvisor.com//Hotel_Review-g293932-d8029079-Reviews-DoubleTree_by_Hilton_Hotel_Yerevan_City_Centre-Yerevan.html","Booking.com",386,"1","0","1","0","1","1","0",19911,41,"d8029079","Hotel","Armenia","Yerevan","Yerevan","Grigor Lusavorich Street 4/2","0015","(011) 555333","286","Hotels in Yerevan","7","82","369","4.5","Certificate of Excellence","['166', '55', '12', '6', '9']","{'English': '248', 'Russian': '72', 'Chinese': 'Sim.', 'Italian': '17', 'French': '11', 'German': '5', 'Portuguese': '5', 'Spanish': '4', 'Swedish': '2', 'Dutch': '1', 'Finnish': '1', 'Japanese': '1', 'Korean': '1'}","['reviews', 'double', 'tree', 'free', 'mini', 'bar', 'republic', 'square', 'recommend', 'this', 'hotel', 'general', 'manager', 'modern', 'hotel', 'tv', 'channels', 'professional', 'staff', 'great', 'hotel', 'fitness', 'center', 'yerevan', 'city', 'mount', 'ararat', 'business', 'trip', 'new', 'building', 'beautiful', 'country', 'breakfast', 'buffet', 'is', 'room', 'was', 'spacious']"
"DownTown Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d3784108-Reviews-DownTown_Hostel-Yerevan.html","Expedia.com",63,"0","0","0","0","0","0","0",29750,61,"d3784108","Hotel","Armenia","Yerevan","Yerevan","Nalbandyan str. 31-42","0010","Missing","55","Specialty Lodging in Yerevan","18","281","63","4","Missing","['26', '10', '6', '1', '3']","{'English': '46', 'Russian': '14', 'Spanish': '2', 'French': '1', 'Italian': '1'}","Missing"
"Dreams Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d12309928-Reviews-Dreams_Hotel-Yerevan.html","Booking.com",7,"1","0","1","0","0","0","0",20825,43,"d12309928","Hotel","Armenia","Yerevan","Yerevan","5 Mesrop Mashtots Ave","0089","Missing","13","Specialty Lodging in Yerevan","41","281","7","4.5","Missing","['1', '2', '0', '0', '0']","{'English': '3', 'Russian': '3', 'Hungarian': '1'}","Missing"
"Druzhba Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d10235677-Reviews-Druzhba_Hostel-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",4992,10,"d10235677","Hotel","Armenia","Yerevan","Yerevan","Avyetisyan A. 15/1","0033","Missing","1","Specialty Lodging in Yerevan","108","281","1","5","Missing","['1', '0', '0', '0', '0']","Missing","Missing"
"EcoTourism Armenia","https://www.tripadvisor.com//Hotel_Review-g293932-d8128405-Reviews-EcoTourism_Armenia-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",13450,28,"d8128405","Hotel","Armenia","Yerevan","Yerevan","Yerevan-Abovyan highway 1st Street, 3 deadlock, 3","2213","Missing","Missing","Missing","Missing","Missing","237","Missing","Missing","Missing","Missing","Missing"
"Eger","https://www.tripadvisor.com//Hotel_Review-g293932-d13982906-Reviews-Eger-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",9989,21,"d13982906","Hotel","Armenia","Yerevan","Yerevan","Davit-Bek Street 1/1","0008","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Elysium Gallery Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8498551-Reviews-Elysium_Gallery_Hotel-Yerevan.html","Booking.com",44,"1","0","1","0","0","0","0",20583,43,"d8498551","Hotel","Armenia","Yerevan","Yerevan","Kokhbatsi str. 75/5","0002","Missing","55","B&Bs / Inns in Yerevan","23","139","44","4","Missing","['11', '6', '2', '1', '4']","{'English': '24', 'Russian': '15', 'French': '3', 'Danish': '1', 'Italian': '1'}","['reviews', 'northern', 'avenue', 'excellent', 'location', 'the', 'heart', 'of', 'the', 'city', 'stayed', 'here', 'republic', 'square', 'sofi', 'receptionist', 'opera', 'cascade']"
"Envoy Hostel and Tours","https://www.tripadvisor.com//Hotel_Review-g293932-d595944-Reviews-Envoy_Hostel_and_Tours-Yerevan.html","Booking.com",363,"1","1","0","0","0","0","0",41658,86,"d595944","Hotel","Armenia","Yerevan","Yerevan","54 Pushkin St.","0002","Missing","152","Specialty Lodging in Yerevan","1","281","362","4.5","Certificate of Excellence","['256', '47', '9', '5', '1']","{'English': '318', 'Italian': '12', 'Russian': '10', 'German': '8', 'French': '5', 'Japanese': '4', 'Spanish': '3', 'Polish': '1', 'Portuguese': '1'}","['reviews', 'local', 'family', 'walking', 'tour', 'an', 'excellent', 'guide', 'private', 'room', 'day', 'tour', 'armenian', 'history', 'free', 'breakfast', 'khor', 'virap', 'lake', 'sevan', 'comfortable', 'beds', 'special', 'thanks', 'georgia', 'hostel', 'angela', 'enlightened', 'monasteries', 'computers']"
"Eridana Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8733082-Reviews-Eridana_Hotel-Yerevan.html","Booking.com",2,"1","0","1","0","0","0","0",6667,14,"d8733082","Hotel","Armenia","Yerevan","Yerevan","Davitashen 4 Block, 17/8","0054","Missing","11","B&Bs / Inns in Yerevan","58","139","2","4","Missing","['0', '0', '1', '0', '0']","{'English': '1', 'Russian': '1'}","Missing"
"Erzrum Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7907550-Reviews-Erzrum_Hotel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",12000,25,"d7907550","Hotel","Armenia","Yerevan","Yerevan","Tbilisyan Highway 27/7","0052","Missing","Missing","Missing","Missing","Missing","105","Missing","Missing","Missing","Missing","Missing"
"Eurasia Interunivers  Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12661369-Reviews-Eurasia_Interunivers_Hostel-Yerevan.html","Booking.com",0,"1","0","0","0","0","0","0",18490,38,"d12661369","Hotel","Armenia","Yerevan","Yerevan","Azatutyan ave 2","0037","Missing","8","Missing","Missing","Missing","127","Missing","Missing","Missing","Missing","Missing"
"Europe Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d1447581-Reviews-Europe_Hotel-Yerevan.html","Booking.com",209,"1","0","1","0","0","0","0",19911,41,"d1447581","Hotel","Armenia","Yerevan","Yerevan","Anrapyetutsyan str. 38","0010","Missing","115","Hotels in Yerevan","23","82","208","4","Certificate of Excellence","['43', '48', '21', '2', '5']","{'English': '119', 'Russian': '38', 'French': '36', 'Italian': '7', 'German': '4', 'Portuguese': '2', 'Spanish': '2', 'Japanese': '1'}","['reviews', 'republic', 'square', 'quiet', 'street', 'the', 'main', 'square', 'the', 'hotel', 'staff', 'package', 'tour', 'friendly', 'hotel', 'reception', 'area', 'first', 'floor', 'excellent', 'location', 'flea', 'market', 'walking', 'distance', 'sitting', 'area', 'central', 'location', 'breakfast', 'room', 'non', 'smoking', 'rooms', 'are', 'large', 'delicious', 'breakfast']"
"Extreme Excite Hostel And Travel","https://www.tripadvisor.com//Hotel_Review-g293932-d15053095-Reviews-Extreme_Excite_Hostel_And_Travel-Yerevan.html","Expedia.com",2,"1","0","1","0","0","0","0",83121,172,"d15053095","Hotel","Armenia","Yerevan","Yerevan","Pushkina str. 21","0010","Missing","2","Specialty Lodging in Yerevan","71","281","2","5","Missing","['1', '0', '0', '0', '0']","{'English': '1', 'Russian': '1'}","Missing"
"Familia","https://www.tripadvisor.com//Hotel_Review-g293932-d12616581-Reviews-Familia-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",10825,22,"d12616581","Hotel","Armenia","Yerevan","Yerevan","Sepuhi 29","0028","Missing","1","B&Bs / Inns in Yerevan","60","139","1","5","Missing","['1', '0', '0', '0', '0']","{'English': '1'}","Missing"
"Family Hotel Nigatun","https://www.tripadvisor.com//Hotel_Review-g293932-d10681844-Reviews-Family_Hotel_Nigatun-Yerevan.html","Booking.com",3,"1","0","1","0","0","0","0",18490,38,"d10681844","Hotel","Armenia","Yerevan","Yerevan","Admiral Isakov Street 333/1","0082","Missing","8","Specialty Lodging in Yerevan","92","281","3","3.5","Missing","['0', '2', '1', '0', '0']","{'English': '3'}","Missing"
"Family Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d2442938-Reviews-Family_Hotel-Yerevan.html","Booking.com",25,"1","0","0","0","0","0","1",27119,56,"d2442938","Hotel","Armenia","Yerevan","Yerevan","Buzanda St., 49/1","10","Missing","9","B&Bs / Inns in Yerevan","19","139","24","4.5","Missing","['6', '2', '0', '0', '0']","{'English': '8', 'Russian': '13', 'French': '1', 'German': '1', 'Spanish': '1'}","Missing"
"Feel Inn Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d8039152-Reviews-Feel_Inn_Hostel-Yerevan.html","Booking.com",14,"1","0","1","0","0","0","0",24575,51,"d8039152","Hotel","Armenia","Yerevan","Yerevan","Khorrdarani str. 36","0015","Missing","40","Specialty Lodging in Yerevan","21","281","14","5","Missing","['12', '0', '0', '0', '0']","{'English': '12', 'Russian': '1', 'Spanish': '1'}","Missing"
"Fever Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15278439-Reviews-Fever_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",22500,46,"d15278439","Hotel","Armenia","Yerevan","Yerevan","11/3 Argishti, 170","0001","Missing","Missing","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"FindArmenia Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d10127306-Reviews-FindArmenia_Hostel-Yerevan.html","Booking.com",30,"1","0","1","0","0","0","0",4983,10,"d10127306","Hotel","Armenia","Yerevan","Yerevan","Bayrona str. 10","0009","Missing","56","Specialty Lodging in Yerevan","9","281","30","5","Missing","['2', '1', '0', '0', '0']","{'English': '3', 'Russian': '26', 'French': '1'}","Missing"
"FlatsInYerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d7179599-Reviews-FlatsInYerevan-Yerevan.html","Booking.com",12,"1","0","0","0","0","0","0",19167,40,"d7179599","Hotel","Armenia","Yerevan","Yerevan","Vardanantsa str. 5A","0010","Missing","34","Specialty Lodging in Yerevan","45","281","12","4.5","Missing","['4', '0', '0', '0', '1']","{'English': '5', 'Russian': '6', 'German': '1'}","Missing"
"Fortune","https://www.tripadvisor.com//Hotel_Review-g293932-d10817039-Reviews-Fortune-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",7492,15,"d10817039","Hotel","Armenia","Yerevan","Yerevan","Tairov Building 5","0082","Missing","Missing","Specialty Lodging in Yerevan","125","281","1","3","Missing","['0', '0', '1', '0', '0']","Missing","Missing"
"Forum Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d6206559-Reviews-Forum_Hotel-Yerevan.html","Booking.com",45,"1","0","1","0","0","0","0",30000,62,"d6206559","Hotel","Armenia","Yerevan","Yerevan","Paronyana str. 19/3","0015","Missing","93","Hotels in Yerevan","53","82","46","4","Missing","['10', '3', '4', '1', '1']","{'English': '19', 'Russian': '20', 'French': '2', 'Italian': '2', 'Arabic': '1', 'Chinese': 'Trad.', 'Dutch': '1'}","['reviews', 'free', 'airport', 'shuttle', 'the', 'hotel', 'staff', 'great', 'hotel', 'taxi', 'reception', 'breakfast', 'city']"
"Freedom Armenia","https://www.tripadvisor.com//Hotel_Review-g293932-d13085428-Reviews-Freedom_Armenia-Yerevan.html","Booking.com",7,"1","0","1","0","0","0","0",12742,26,"d13085428","Hotel","Armenia","Yerevan","Yerevan","31 Moskovyan pokhoc","0001","Missing","7","Specialty Lodging in Yerevan","129","281","4","4.5","Missing","['0', '1', '1', '0', '0']","{'English': '2', 'French': '1', 'Russian': '1'}","Missing"
"Friendship Hostel & Tours 2","https://www.tripadvisor.com//Hotel_Review-g293932-d13329847-Reviews-Friendship_Hostel_Tours_2-Yerevan.html","Booking.com",1,"0","0","0","0","0","0","0",20825,43,"d13329847","Hotel","Armenia","Yerevan","Yerevan","Manukyan Alyek str. 17","0070","Missing","Missing","Specialty Lodging in Yerevan","101","281","1","5","Missing","['1', '0', '0', '0', '0']","{'English': '1'}","Missing"
"Friendship Hostel & Tours","https://www.tripadvisor.com//Hotel_Review-g293932-d12214565-Reviews-Friendship_Hostel_Tours-Yerevan.html","Booking.com",23,"1","0","1","0","0","0","0",9583,20,"d12214565","Hotel","Armenia","Yerevan","Yerevan","Yeznik Kokhbatsi Street 1","0015","Missing","63","Specialty Lodging in Yerevan","43","281","21","4.5","Missing","['8', '3', '0', '0', '2']","{'English': '13', 'Russian': '4', 'Italian': '2', 'French': '1', 'Spanish': '1'}","['reviews', 'stayed', 'here', 'for', 'nights', 'clean', 'rooms', 'republic', 'square', 'sona', 'privacy', 'toilet', 'curtains', 'driver', 'country', 'beds', 'centre']"
"Garden House Baghramyan","https://www.tripadvisor.com//Hotel_Review-g293932-d12520269-Reviews-Garden_House_Baghramyan-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",22500,46,"d12520269","Hotel","Armenia","Yerevan","Yerevan","Avet Avetisyan 15A","0033","Missing","Missing","Missing","Missing","Missing","362","Missing","Missing","Missing","Missing","Missing"
"Garni Hinyard","https://www.tripadvisor.com//Hotel_Review-g293932-d15232085-Reviews-Garni_Hinyard-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",25833,53,"d15232085","Hotel","Armenia","Yerevan","Yerevan","Azatamartikner St. 1/7","2215","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Gem Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15012154-Reviews-Gem_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",20825,43,"d15012154","Hotel","Armenia","Yerevan","Yerevan","31 Mesrop Mashtots Avenue","0002","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Georgia Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d9786922-Reviews-Georgia_Hotel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",11667,24,"d9786922","Hotel","Armenia","Yerevan","Yerevan","Ashtarak Highway, 6","2415","Missing","1","Missing","Missing","Missing","362","Missing","Missing","Missing","Missing","Missing"
"Getar","https://www.tripadvisor.com//Hotel_Review-g293932-d6219829-Reviews-Getar-Yerevan.html","Booking.com",0,"1","0","0","0","0","0","0",9000,19,"d6219829","Hotel","Armenia","Yerevan","Yerevan","Khoryenatsi M. str. 28","0018","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Golden Eagle Guesthouse","https://www.tripadvisor.com//Hotel_Review-g293932-d3870831-Reviews-Golden_Eagle_Guesthouse-Yerevan.html","Booking.com",10,"0","0","0","0","0","0","0",15417,32,"d3870831","Hotel","Armenia","Yerevan","Yerevan","Sosye str. 24/2","0019","Missing","25","B&Bs / Inns in Yerevan","33","139","10","4.5","Missing","['3', '0', '0', '0', '0']","{'English': '3', 'Russian': '6', 'Polish': '1'}","Missing"
"Golden Palace Hotel Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d13457134-Reviews-Golden_Palace_Hotel_Yerevan-Yerevan.html","Expedia.com",13,"1","0","1","0","0","0","0",63589,131,"d13457134","Hotel","Armenia","Yerevan","Yerevan","11 Northern Avenue","0010","Missing","57","Hotels in Yerevan","52","82","12","Missing","Missing","['10', '0', '0', '1', '1']","{'English': '10', 'Russian': '2'}","['avenue', 'spa', 'location']"
"Golden Second Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d3284430-Reviews-Golden_Second_Hotel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",28667,59,"d3284430","Hotel","Armenia","Yerevan","Yerevan","Nazarbekyan Street 15/6","0078","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Grammy Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d2695368-Reviews-Grammy_Hostel-Yerevan.html","Booking.com",52,"1","0","1","0","0","0","0",21250,44,"d2695368","Hotel","Armenia","Yerevan","Yerevan","Agayan K. str. 15","0009","Missing","41","Specialty Lodging in Yerevan","11","281","52","Missing","Missing","['38', '13', '1', '0', '0']","{'English': '33', 'Russian': '13', 'Polish': '2'}","Missing"
"Granada Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8516876-Reviews-Granada_Hotel-Yerevan.html","Booking.com",15,"1","0","1","0","0","0","0",10667,22,"d8516876","Hotel","Armenia","Yerevan","Yerevan","Komitas ave 60/5","0014","Missing","7","Specialty Lodging in Yerevan","110","281","15","3","Missing","['1', '3', '4', '0', '1']","{'English': '9', 'Russian': '4', 'German': '1', 'Polish': '1'}","['reviews', 'yerevan', 'city', 'nice', 'hotel', 'fridge', 'supermarket', 'taxi', 'bathroom']"
"Grand Hills Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d15220773-Reviews-Grand_Hills_Hotel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",35000,72,"d15220773","Hotel","Armenia","Yerevan","Yerevan","Garegin Hovsepyan Str., 61","0047","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Grand Hotel Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d585269-Reviews-Grand_Hotel_Yerevan-Yerevan.html","Booking.com",384,"1","0","0","1","0","0","0",19911,41,"d585269","Hotel","Armenia","Yerevan","Yerevan","14 Abovian St","375010","Missing","274","Hotels in Yerevan","5","82","379","4.5","Certificate of Excellence","['116', '50', '13', '1', '5']","{'English': '185', 'Russian': '95', 'Italian': '55', 'French': '19', 'Spanish': '7', 'German': '6', 'Portuguese': '5', 'Dutch': '2', 'Polish': '2', 'Finnish': '1', 'Hebrew': '1', 'Japanese': '1', 'Norwegian': '1'}","['reviews', 'rooftop', 'pool', 'small', 'luxury', 'pianist', 'playing', 'rooms', 'opening', 'internal', 'courtyard', 'spa', 'center', 'republic', 'square', 'unique', 'style', 'soviet', 'era', 'hotel', 'business', 'trip', 'elegant', 'hotel', 'winter', 'garden', 'business', 'and', 'pleasure', 'bend', 'over', 'backwards', 'golden', 'tulip', 'excellent', 'hospitality', 'walking', 'distance']"
"Grand Tours Armenia","https://www.tripadvisor.com//Hotel_Review-g293932-d15584860-Reviews-Grand_Tours_Armenia-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",8325,17,"d15584860","Hotel","Armenia","Yerevan","Yerevan","Malatya Shrjanayin Dom 77 Sopstvini Dom Ftaroy Etaj","0068","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Grant Villa","https://www.tripadvisor.com//Hotel_Review-g293932-d13284143-Reviews-Grant_Villa-Yerevan.html","Booking.com",1,"0","0","0","0","0","0","0",30000,62,"d13284143","Hotel","Armenia","Yerevan","Yerevan","House 28 Aygyestan 9 str.","0025","Missing","6","Specialty Lodging in Yerevan","86","281","1","5","Missing","['1', '0', '0', '0', '0']","{'English': '1'}","Missing"
"Green Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15128173-Reviews-Green_Hostel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",6658,14,"d15128173","Hotel","Armenia","Yerevan","Yerevan","Paronyana str. 28/1","0015","Missing","1","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Green Palace Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d3265300-Reviews-Green_Palace_Hotel-Yerevan.html","Booking.com",18,"1","0","1","0","0","0","0",14875,31,"d3265300","Hotel","Armenia","Yerevan","Yerevan","Myasnikyana ave 57","0025","Missing","54","B&Bs / Inns in Yerevan","30","139","18","4.5","Missing","['11', '1', '0', '0', '0']","{'English': '12', 'Russian': '5', 'Polish': '1'}","Missing"
"Grig Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d3870900-Reviews-Grig_Hotel-Yerevan.html","Booking.com",30,"1","0","0","0","0","0","0",22400,46,"d3870900","Hotel","Armenia","Yerevan","Yerevan","Bagramyan Marshal ave 47/12","0019","Missing","74","B&Bs / Inns in Yerevan","11","139","30","4.5","Missing","['3', '1', '1', '0', '0']","{'English': '5', 'Russian': '23', 'Italian': '1', 'Norwegian': '1'}","Missing"
"GS Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d12483499-Reviews-GS_Hotel-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",18200,38,"d12483499","Hotel","Armenia","Yerevan","Yerevan","Nazarbyekyan Tovmas str. 35/3","0057","Missing","10","Specialty Lodging in Yerevan","119","281","1","4","Missing","['0', '1', '0', '0', '0']","{'English': '1'}","Missing"
"GS House","https://www.tripadvisor.com//Hotel_Review-g293932-d12599122-Reviews-GS_House-Yerevan.html","Booking.com",0,"1","0","0","0","0","0","0",6667,14,"d12599122","Hotel","Armenia","Yerevan","Yerevan","3 Badal Muradian Street","0015","Missing","Missing","Missing","Missing","Missing","379","Missing","Missing","Missing","Missing","Missing"
"Guest House 1","https://www.tripadvisor.com//Hotel_Review-g293932-d12928426-Reviews-Guest_House_1-Yerevan.html","Booking.com",5,"1","0","1","0","0","0","0",8325,17,"d12928426","Hotel","Armenia","Yerevan","Yerevan","7.Sayat Nova str. 23/28","0060","Missing","13","Specialty Lodging in Yerevan","67","281","4","4.5","Missing","['1', '1', '0', '0', '0']","{'English': '2', 'Dutch': '1', 'Russian': '1'}","Missing"
"Guest House at Aygestana","https://www.tripadvisor.com//Hotel_Review-g293932-d8651814-Reviews-Guest_House_at_Aygestana-Yerevan.html","Booking.com",3,"1","0","1","0","0","0","0",12500,26,"d8651814","Hotel","Armenia","Yerevan","Yerevan","Aygyestan 1 str. 11","0025","Missing","19","B&Bs / Inns in Yerevan","43","139","3","5","Missing","['1', '0', '0', '0', '0']","{'English': '1', 'French': '1', 'Russian': '1'}","Missing"
"Guest House Hospice","https://www.tripadvisor.com//Hotel_Review-g293932-d10799655-Reviews-Guest_House_Hospice-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",10825,22,"d10799655","Hotel","Armenia","Yerevan","Yerevan","Baghramyan h. 61","0033","Missing","Missing","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"Guest House Komitas","https://www.tripadvisor.com//Hotel_Review-g293932-d13085144-Reviews-Guest_House_Komitas-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",20000,41,"d13085144","Hotel","Armenia","Yerevan","Yerevan","Kristapor Street 61","0018","Missing","Missing","B&Bs / Inns in Yerevan","56","139","1","5","Missing","['1', '0', '0', '0', '0']","Missing","Missing"
"Guest House Myasnikyan","https://www.tripadvisor.com//Hotel_Review-g293932-d15086527-Reviews-Guest_House_Myasnikyan-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",8000,17,"d15086527","Hotel","Armenia","Yerevan","Yerevan","Myasnikyana ave 39","0025","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
